;alpha;beta;delta;BA.1;BA.5;XBB.1.5
G790 (BA.5);21,75;21,33;55,22;13,02;110,73;9,01
G938 (CK.2.1.1);8,1;13,94;5,55;1,9;172,15;1
G939 (CK.2.1.1);1;1,1;5,16;1;390,97;34,42
